index,id,date,time,Us,Eu,Ch,Kr,Tw
0,1,03/02/2019,14:00:01,"111,249","159,930","184,765","242,896","263,267"
1,2,03/02/2019,14:20:01,"111,076","160,582","185,593","245,325","263,694"
2,3,03/02/2019,14:40:01,"111,096","160,815","186,028","247,778","263,088"
3,4,03/02/2019,15:00:01,"111,199","160,434","186,136","249,695","262,637"
4,5,03/02/2019,15:20:01,"111,234","160,014","186,335","250,066","262,494"
5,6,03/02/2019,15:40:01,"111,240","159,415","186,561","249,328","262,810"
6,7,03/02/2019,16:00:01,"111,260","158,740","186,463","248,590","262,886"
7,8,03/02/2019,16:20:02,"111,240","158,223","185,963","249,479","263,093"
8,9,03/02/2019,16:40:01,,,,,
9,10,03/02/2019,17:00:01,"110,989","158,539","184,407","250,392","263,419"
10,11,03/02/2019,17:20:01,"110,487","159,437","184,071","248,980","263,404"
11,12,03/02/2019,17:40:01,"109,970","160,371","183,619","247,472","263,960"
12,13,03/02/2019,18:00:02,"109,548","160,859","183,168","245,973","264,385"
13,14,03/02/2019,18:20:01,"109,079","160,836","182,656","244,237","264,937"
14,15,03/02/2019,18:40:02,"108,602","160,836","182,235","242,432","265,225"
15,16,03/02/2019,19:00:02,"108,184","160,770","181,803","240,337","264,961"
16,17,03/02/2019,19:20:02,"107,780","160,586","181,416","238,280","264,702"
17,18,03/02/2019,19:40:01,,,,,
18,19,03/02/2019,20:00:01,"106,975","159,658","180,644","234,853","264,515"
19,20,03/02/2019,20:20:01,"106,733","159,729","180,466","233,378","264,586"
20,21,03/02/2019,20:40:01,"106,907","160,059","180,301","231,796","264,839"
21,22,03/02/2019,21:00:01,"107,166","160,283","180,117","230,611","264,839"
22,23,03/02/2019,21:20:01,"107,348","160,437","179,765","230,108","264,911"
23,24,03/02/2019,21:40:01,"107,487","160,370","179,447","230,277","265,027"
24,25,03/02/2019,22:00:01,,,,,
25,26,03/02/2019,22:20:02,"107,422","159,823","178,863","229,310","264,509"
26,27,03/02/2019,22:40:01,"107,413","159,769","178,827","228,446","264,405"
27,28,03/02/2019,23:00:01,"107,414","159,769","178,982","227,357","264,301"
28,29,03/02/2019,23:20:01,"107,571","159,991","179,889","226,349","264,241"
29,30,03/02/2019,23:40:01,"107,656","159,859","179,889","225,689","264,356"
30,31,03/03/2019,00:00:01,"108,001","159,859","180,599","226,028","264,472"
31,32,03/03/2019,00:20:02,"108,359","159,693","182,297","226,254","264,521"
32,33,03/03/2019,00:40:02,"108,686","159,727","182,297","226,711","264,613"
33,34,03/03/2019,01:00:01,"108,680","159,669","183,163","226,961","264,816"
34,35,03/03/2019,01:20:01,"108,673","159,617","184,055","227,590","264,798"
35,36,03/03/2019,01:40:01,"108,755","159,556","185,241","228,456","264,714"
36,37,03/03/2019,02:00:01,"108,913","159,417","186,576","229,401","264,674"
37,38,03/03/2019,02:20:02,"109,022","159,254","187,822","230,312","264,876"
